observation_date,COMPNFB,CP,GDPC1,GDPDEF,GPDIC1,HOABS,PCECC96
1947-01-01,3.746,21.970,2034.450,11.952,218.091,53.799,1277.440
1947-04-01,3.831,20.788,2029.024,12.122,201.386,53.731,1298.692
1947-07-01,3.945,20.564,2024.834,12.326,195.461,54.147,1302.925
1947-10-01,4.038,22.451,2056.508,12.630,233.284,54.560,1303.340
1948-01-01,4.134,23.739,2087.442,12.731,257.220,54.290,1309.834
1948-04-01,4.189,24.941,2121.899,12.845,273.138,54.315,1325.075
1948-07-01,4.275,24.551,2134.056,13.083,275.936,54.809,1327.031
1948-10-01,4.317,23.760,2136.440,13.123,262.741,54.460,1337.622
1949-01-01,4.342,21.683,2107.001,13.053,223.507,53.696,1339.787
1949-04-01,4.351,19.172,2099.814,12.923,193.795,53.212,1360.322
1949-07-01,4.361,19.816,2121.493,12.863,209.862,52.339,1363.407
1949-10-01,4.348,19.457,2103.688,12.864,199.540,51.668,1383.396
1950-01-01,4.460,20.037,2186.365,12.845,246.911,51.833,1406.429
1950-04-01,4.557,23.815,2253.045,12.888,273.335,52.988,1429.591
1950-07-01,4.648,28.777,2340.112,13.168,296.831,54.353,1503.003
1950-10-01,4.765,31.581,2384.920,13.415,334.548,54.688,1457.694
1951-01-01,4.879,26.345,2417.311,13.900,300.363,55.256,1492.942
1951-04-01,4.988,22.589,2459.196,13.992,307.326,55.543,1450.753
1951-07-01,5.043,20.778,2509.880,14.000,284.697,54.896,1467.654
1951-10-01,5.139,22.592,2515.408,14.160,262.013,55.085,1476.205
1952-01-01,5.194,22.062,2542.286,14.153,268.850,55.338,1479.625
1952-04-01,5.233,21.295,2547.762,14.170,248.580,54.770,1508.601
1952-07-01,5.298,21.590,2566.153,14.329,261.906,54.952,1515.837
1952-10-01,5.431,23.752,2650.431,14.368,280.772,56.281,1569.313
1953-01-01,5.494,24.609,2699.699,14.371,286.813,56.564,1587.743
1953-04-01,5.559,24.658,2720.566,14.400,288.445,56.493,1597.302
1953-07-01,5.617,24.201,2705.258,14.460,282.411,56.003,1593.497
1953-10-01,5.672,19.351,2664.302,14.487,262.005,55.086,1582.812
1954-01-01,5.720,21.923,2651.566,14.533,260.127,54.734,1588.650
1954-04-01,5.726,22.529,2654.456,14.546,259.513,53.989,1609.280
1954-07-01,5.771,23.813,2684.434,14.565,272.037,53.784,1631.059
1954-10-01,5.828,25.515,2736.960,14.605,283.968,54.162,1665.291
1955-01-01,5.869,28.583,2815.134,14.673,312.337,55.159,1702.656
1955-04-01,5.918,29.064,2860.942,14.734,331.333,55.745,1735.274
1955-07-01,6.023,29.843,2899.578,14.837,336.418,56.590,1756.707
1955-10-01,6.077,31.115,2916.985,14.984,344.218,57.223,1778.767
1956-01-01,6.172,30.601,2905.656,15.134,334.390,57.083,1781.657
1956-04-01,6.291,31.446,2929.666,15.224,331.759,57.237,1787.583
1956-07-01,6.387,30.211,2927.034,15.415,328.788,57.000,1791.625
1956-10-01,6.495,31.879,2975.209,15.477,325.739,56.857,1816.324
1957-01-01,6.588,32.174,2994.259,15.689,320.682,56.832,1828.956
1957-04-01,6.654,30.883,2987.699,15.799,320.357,56.524,1832.145
1957-07-01,6.742,30.274,3016.979,15.893,327.701,56.475,1846.623
1957-10-01,6.832,27.922,2985.775,15.904,302.503,55.166,1847.391
1958-01-01,6.833,24.236,2908.281,16.076,282.096,53.708,1821.834
1958-04-01,6.894,24.600,2927.395,16.123,276.413,53.203,1836.897
1958-07-01,7.054,27.064,2995.112,16.221,297.627,53.602,1867.373
1958-10-01,7.083,30.458,3065.141,16.298,323.004,54.430,1892.738
1959-01-01,7.152,32.706,3123.978,16.336,340.604,55.271,1927.430
1959-04-01,7.213,35.446,3194.429,16.361,367.099,56.567,1957.197
1959-07-01,7.255,32.441,3196.683,16.424,343.391,56.047,1977.643
1959-10-01,7.324,31.960,3205.790,16.489,354.567,56.004,1979.871
1960-01-01,7.481,34.614,3277.847,16.555,390.210,55.868,1998.811
1960-04-01,7.529,32.312,3260.177,16.597,353.841,56.410,2024.025
1960-07-01,7.574,31.023,3276.133,16.654,352.942,56.327,2015.934
1960-10-01,7.605,29.922,3234.087,16.703,313.843,55.698,2018.545
1961-01-01,7.672,29.223,3255.914,16.739,321.988,55.388,2017.795
1961-04-01,7.780,30.671,3311.181,16.778,344.549,54.763,2047.823
1961-07-01,7.838,32.317,3374.742,16.821,371.335,55.154,2057.782
1961-10-01,7.896,34.595,3440.924,16.874,377.479,55.691,2099.173
1962-01-01,8.022,35.196,3502.298,16.961,397.831,56.258,2121.409
1962-04-01,8.076,35.166,3533.947,16.989,394.694,56.563,2147.489
1962-07-01,8.133,36.205,3577.362,17.024,401.401,56.271,2164.796
1962-10-01,8.207,37.066,3589.128,17.059,389.657,55.888,2195.427
